frameCount	 n	 frameCond	 stimPosition	 experimentTime	 experimentInterval	 frameT	 interval
204	 204	 2	 952.0	 8.19972515106	 0.039999961853	 8.2	 0.04
205	 205	 2	 952.0	 8.23974204063	 0.0400168895721	 8.24	 0.04
206	 206	 2	 941.0	 8.27972817421	 0.0399861335754	 8.28	 0.04
207	 207	 2	 941.0	 8.31970405579	 0.0399758815765	 8.32	 0.04
208	 208	 2	 930.0	 8.35973215103	 0.0400280952454	 8.36	 0.04
209	 209	 2	 930.0	 8.3996989727	 0.0399668216705	 8.4	 0.04
210	 210	 2	 919.0	 8.43972110748	 0.0400221347809	 8.44	 0.04
211	 211	 2	 919.0	 8.47971796989	 0.0399968624115	 8.48	 0.04
212	 212	 2	 907.0	 8.51971316338	 0.0399951934814	 8.52	 0.04
213	 213	 2	 907.0	 8.55972099304	 0.0400078296661	 8.56	 0.04
214	 214	 2	 896.0	 8.59970998764	 0.0399889945984	 8.6	 0.04
215	 215	 2	 896.0	 8.63969898224	 0.0399889945984	 8.64	 0.04
216	 216	 2	 885.0	 8.67973017693	 0.0400311946869	 8.68	 0.04
217	 217	 2	 885.0	 8.71971011162	 0.0399799346924	 8.72	 0.04
218	 218	 2	 874.0	 8.75971603394	 0.0400059223175	 8.76	 0.04
219	 219	 2	 874.0	 8.79970097542	 0.0399849414825	 8.8	 0.04
220	 220	 2	 862.0	 8.83970618248	 0.0400052070618	 8.84	 0.04
221	 221	 2	 862.0	 8.87972211838	 0.0400159358978	 8.88	 0.04
222	 222	 2	 851.0	 8.91971611977	 0.0399940013885	 8.92	 0.04
223	 223	 2	 851.0	 8.95972418785	 0.0400080680847	 8.96	 0.04
224	 224	 2	 840.0	 8.99971318245	 0.0399889945984	 9.0	 0.04
225	 225	 2	 840.0	 9.03969216347	 0.0399789810181	 9.04	 0.04
226	 226	 2	 829.0	 9.07971310616	 0.040020942688	 9.08	 0.04
227	 227	 2	 829.0	 9.11969208717	 0.0399789810181	 9.12	 0.04
228	 228	 2	 817.0	 9.15972113609	 0.0400290489197	 9.16	 0.04
229	 229	 2	 817.0	 9.19971609116	 0.0399949550629	 9.2	 0.04
230	 230	 2	 806.0	 9.23970508575	 0.0399889945984	 9.24	 0.04
231	 231	 2	 806.0	 9.2797870636	 0.0400819778442	 9.28	 0.04
232	 232	 2	 795.0	 9.31971216202	 0.0399250984192	 9.32	 0.04
233	 233	 2	 795.0	 9.35967898369	 0.0399668216705	 9.36	 0.04
234	 234	 2	 783.0	 9.39973306656	 0.0400540828705	 9.4	 0.04
235	 235	 2	 783.0	 9.43969511986	 0.039962053299	 9.44	 0.04
236	 236	 2	 772.0	 9.47985816002	 0.0401630401611	 9.48	 0.04
237	 237	 2	 772.0	 9.51969003677	 0.0398318767548	 9.52	 0.04
238	 238	 2	 761.0	 9.55970597267	 0.0400159358978	 9.56	 0.04
239	 239	 2	 761.0	 9.59970808029	 0.0400021076202	 9.6	 0.04
240	 240	 2	 750.0	 9.63970518112	 0.0399971008301	 9.64	 0.04
241	 241	 2	 750.0	 9.67972302437	 0.0400178432465	 9.68	 0.04
242	 242	 2	 738.0	 9.71969509125	 0.0399720668793	 9.72	 0.04
243	 243	 2	 738.0	 9.75968313217	 0.0399880409241	 9.76	 0.04
244	 244	 2	 727.0	 9.79970002174	 0.0400168895721	 9.8	 0.04
245	 245	 2	 727.0	 9.83967995644	 0.0399799346924	 9.84	 0.04
246	 246	 2	 716.0	 9.87970900536	 0.0400290489197	 9.88	 0.04
247	 247	 2	 716.0	 9.91969609261	 0.0399870872498	 9.92	 0.04
248	 248	 2	 704.0	 9.95969605446	 0.039999961853	 9.96	 0.04
249	 249	 2	 704.0	 9.99969100952	 0.0399949550629	 10.0	 0.04
250	 250	 2	 693.0	 10.0396921635	 0.0400011539459	 10.04	 0.04
251	 251	 2	 693.0	 10.0796980858	 0.0400059223175	 10.08	 0.04
252	 252	 2	 682.0	 10.119697094	 0.0399990081787	 10.12	 0.04
253	 253	 2	 682.0	 10.1597020626	 0.0400049686432	 10.16	 0.04
254	 254	 2	 671.0	 10.1996831894	 0.0399811267853	 10.2	 0.04
255	 255	 2	 671.0	 10.2396540642	 0.0399708747864	 10.24	 0.04
256	 256	 2	 659.0	 10.2796981335	 0.0400440692902	 10.28	 0.04
257	 257	 2	 659.0	 10.3196821213	 0.0399839878082	 10.32	 0.04
258	 258	 2	 648.0	 10.3596889973	 0.0400068759918	 10.36	 0.04
259	 259	 2	 648.0	 10.3997011185	 0.0400121212006	 10.4	 0.04
260	 260	 2	 637.0	 10.43968606	 0.0399849414825	 10.44	 0.04
261	 261	 2	 637.0	 10.4796931744	 0.0400071144104	 10.48	 0.04
262	 262	 2	 626.0	 10.51968503	 0.0399918556213	 10.52	 0.04
263	 263	 2	 626.0	 10.5596680641	 0.0399830341339	 10.56	 0.04
264	 264	 2	 614.0	 10.5996780396	 0.0400099754333	 10.6	 0.04
265	 265	 2	 614.0	 10.6396770477	 0.0399990081787	 10.64	 0.04
266	 266	 2	 603.0	 10.6796970367	 0.0400199890137	 10.68	 0.04
267	 267	 2	 603.0	 10.7196650505	 0.0399680137634	 10.72	 0.04
268	 268	 2	 592.0	 10.7596781254	 0.0400130748749	 10.76	 0.04
269	 269	 2	 592.0	 10.7996909618	 0.0400128364563	 10.8	 0.04
270	 270	 2	 580.0	 10.8396880627	 0.0399971008301	 10.84	 0.04
271	 271	 2	 580.0	 10.8797121048	 0.0400240421295	 10.88	 0.04
272	 272	 2	 569.0	 10.9196791649	 0.0399670600891	 10.92	 0.04
273	 273	 2	 569.0	 10.9596641064	 0.0399849414825	 10.96	 0.04
274	 274	 2	 558.0	 10.9996809959	 0.0400168895721	 11.0	 0.04
275	 275	 2	 558.0	 11.0396590233	 0.0399780273438	 11.04	 0.04
276	 276	 2	 547.0	 11.0796899796	 0.0400309562683	 11.08	 0.04
277	 277	 2	 547.0	 11.1196861267	 0.0399961471558	 11.12	 0.04
278	 278	 2	 535.0	 11.1596770287	 0.039990901947	 11.16	 0.04
279	 279	 2	 535.0	 11.1996860504	 0.040009021759	 11.2	 0.04
280	 280	 2	 524.0	 11.2396740913	 0.0399880409241	 11.24	 0.04
281	 281	 2	 524.0	 11.2796800137	 0.0400059223175	 11.28	 0.04
282	 282	 2	 513.0	 11.3196761608	 0.0399961471558	 11.32	 0.04
283	 283	 2	 513.0	 11.3596811295	 0.0400049686432	 11.36	 0.04
284	 284	 2	 502.0	 11.3996751308	 0.0399940013885	 11.4	 0.04
285	 285	 2	 502.0	 11.4396560192	 0.0399808883667	 11.44	 0.04
286	 286	 2	 490.0	 11.4796850681	 0.0400290489197	 11.48	 0.04
287	 287	 2	 490.0	 11.5196561813	 0.039971113205	 11.52	 0.04
288	 288	 2	 479.0	 11.5596711636	 0.0400149822235	 11.56	 0.04
